ID,Year,LocationAbbr,Topic,Response,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Stratification,StratificationType,IndicatorId,LocationOrder,ParentStateDisplayOrder
886754.0,2003.0,CA,Age,65+ years,Crude Prevalence,14.9,,,13.8,16.0,880.0,Overall,Overall,AGE,7.0,7.0
888858.0,2003.0,CO,Age,18-24 years,Crude Prevalence,13.1,,,11.6,14.6,293.0,Overall,Overall,AGE,8.0,8.0
888859.0,2003.0,CO,Age,25-34 years,Crude Prevalence,19.3,,,17.9,20.7,671.0,Overall,Overall,AGE,8.0,8.0
888860.0,2003.0,CO,Age,35-44 years,Crude Prevalence,21.6,,,20.2,23.0,862.0,Overall,Overall,AGE,8.0,8.0
888861.0,2003.0,CO,Age,45-54 years,Crude Prevalence,20.4,,,19.1,21.7,941.0,Overall,Overall,AGE,8.0,8.0
888862.0,2003.0,CO,Age,55-64 years,Crude Prevalence,12.3,,,11.3,13.3,616.0,Overall,Overall,AGE,8.0,8.0
888863.0,2003.0,CO,Age,65+ years,Crude Prevalence,13.3,,,12.2,14.4,683.0,Overall,Overall,AGE,8.0,8.0
891366.0,2003.0,CT,Age,18-24 years,Crude Prevalence,10.0,,,8.8,11.2,293.0,Overall,Overall,AGE,9.0,9.0
891367.0,2003.0,CT,Age,25-34 years,Crude Prevalence,16.7,,,15.5,17.9,789.0,Overall,Overall,AGE,9.0,9.0
891368.0,2003.0,CT,Age,35-44 years,Crude Prevalence,21.4,,,20.2,22.6,1183.0,Overall,Overall,AGE,9.0,9.0
891369.0,2003.0,CT,Age,45-54 years,Crude Prevalence,19.7,,,18.5,20.9,1198.0,Overall,Overall,AGE,9.0,9.0
891370.0,2003.0,CT,Age,55-64 years,Crude Prevalence,13.6,,,12.6,14.6,784.0,Overall,Overall,AGE,9.0,9.0
891371.0,2003.0,CT,Age,65+ years,Crude Prevalence,18.6,,,17.5,19.7,1070.0,Overall,Overall,AGE,9.0,9.0
893210.0,2003.0,DE,Age,18-24 years,Crude Prevalence,13.1,,,11.3,14.9,298.0,Overall,Overall,AGE,10.0,10.0
893211.0,2003.0,DE,Age,25-34 years,Crude Prevalence,16.9,,,15.3,18.5,601.0,Overall,Overall,AGE,10.0,10.0
893212.0,2003.0,DE,Age,35-44 years,Crude Prevalence,20.6,,,19.0,22.2,845.0,Overall,Overall,AGE,10.0,10.0
893213.0,2003.0,DE,Age,45-54 years,Crude Prevalence,18.4,,,16.8,20.0,803.0,Overall,Overall,AGE,10.0,10.0
893214.0,2003.0,DE,Age,55-64 years,Crude Prevalence,13.4,,,12.1,14.7,698.0,Overall,Overall,AGE,10.0,10.0
893215.0,2003.0,DE,Age,65+ years,Crude Prevalence,17.6,,,16.2,19.0,797.0,Overall,Overall,AGE,10.0,10.0
895516.0,2003.0,DC,Age,18-24 years,Crude Prevalence,14.5,,,11.8,17.2,150.0,Overall,Overall,AGE,11.0,11.0
895517.0,2003.0,DC,Age,25-34 years,Crude Prevalence,21.7,,,19.5,23.9,450.0,Overall,Overall,AGE,11.0,11.0
895518.0,2003.0,DC,Age,35-44 years,Crude Prevalence,19.1,,,17.0,21.2,403.0,Overall,Overall,AGE,11.0,11.0
895519.0,2003.0,DC,Age,45-54 years,Crude Prevalence,16.9,,,15.0,18.8,416.0,Overall,Overall,AGE,11.0,11.0
895520.0,2003.0,DC,Age,55-64 years,Crude Prevalence,12.0,,,10.4,13.6,289.0,Overall,Overall,AGE,11.0,11.0
895521.0,2003.0,DC,Age,65+ years,Crude Prevalence,15.7,,,13.8,17.6,334.0,Overall,Overall,AGE,11.0,11.0
897994.0,2003.0,FL,Age,18-24 years,Crude Prevalence,11.1,,,9.4,12.8,291.0,Overall,Overall,AGE,12.0,12.0
897995.0,2003.0,FL,Age,25-34 years,Crude Prevalence,15.6,,,13.9,17.3,604.0,Overall,Overall,AGE,12.0,12.0
897996.0,2003.0,FL,Age,35-44 years,Crude Prevalence,19.2,,,17.5,20.9,825.0,Overall,Overall,AGE,12.0,12.0
897997.0,2003.0,FL,Age,45-54 years,Crude Prevalence,17.4,,,15.9,18.9,946.0,Overall,Overall,AGE,12.0,12.0
897998.0,2003.0,FL,Age,55-64 years,Crude Prevalence,13.5,,,12.2,14.8,939.0,Overall,Overall,AGE,12.0,12.0
897999.0,2003.0,FL,Age,65+ years,Crude Prevalence,23.2,,,21.5,24.9,1433.0,Overall,Overall,AGE,12.0,12.0
899976.0,2003.0,GA,Age,18-24 years,Crude Prevalence,13.8,,,12.3,15.3,582.0,Overall,Overall,AGE,13.0,13.0
899977.0,2003.0,GA,Age,25-34 years,Crude Prevalence,20.0,,,18.7,21.3,1238.0,Overall,Overall,AGE,13.0,13.0
899978.0,2003.0,GA,Age,35-44 years,Crude Prevalence,21.9,,,20.6,23.2,1475.0,Overall,Overall,AGE,13.0,13.0
899979.0,2003.0,GA,Age,45-54 years,Crude Prevalence,18.7,,,17.6,19.8,1683.0,Overall,Overall,AGE,13.0,13.0
899980.0,2003.0,GA,Age,55-64 years,Crude Prevalence,12.3,,,11.4,13.2,1240.0,Overall,Overall,AGE,13.0,13.0
899981.0,2003.0,GA,Age,65+ years,Crude Prevalence,13.4,,,12.5,14.3,1433.0,Overall,Overall,AGE,13.0,13.0
904400.0,2003.0,HI,Age,18-24 years,Crude Prevalence,12.4,,,10.9,13.9,318.0,Overall,Overall,AGE,14.0,14.0
904401.0,2003.0,HI,Age,25-34 years,Crude Prevalence,17.4,,,16.0,18.8,696.0,Overall,Overall,AGE,14.0,14.0
904402.0,2003.0,HI,Age,35-44 years,Crude Prevalence,19.6,,,18.1,21.1,828.0,Overall,Overall,AGE,14.0,14.0
904403.0,2003.0,HI,Age,45-54 years,Crude Prevalence,19.2,,,17.8,20.6,968.0,Overall,Overall,AGE,14.0,14.0
904404.0,2003.0,HI,Age,55-64 years,Crude Prevalence,13.2,,,11.9,14.5,646.0,Overall,Overall,AGE,14.0,14.0
904405.0,2003.0,HI,Age,65+ years,Crude Prevalence,18.3,,,16.9,19.7,883.0,Overall,Overall,AGE,14.0,14.0
906542.0,2003.0,ID,Age,18-24 years,Crude Prevalence,15.3,,,13.8,16.8,426.0,Overall,Overall,AGE,15.0,15.0
906543.0,2003.0,ID,Age,25-34 years,Crude Prevalence,17.7,,,16.4,19.0,799.0,Overall,Overall,AGE,15.0,15.0
906544.0,2003.0,ID,Age,35-44 years,Crude Prevalence,19.3,,,18.0,20.6,958.0,Overall,Overall,AGE,15.0,15.0
906545.0,2003.0,ID,Age,45-54 years,Crude Prevalence,19.1,,,17.8,20.4,1036.0,Overall,Overall,AGE,15.0,15.0
906546.0,2003.0,ID,Age,55-64 years,Crude Prevalence,12.7,,,11.7,13.7,758.0,Overall,Overall,AGE,15.0,15.0
906547.0,2003.0,ID,Age,65+ years,Crude Prevalence,15.9,,,14.8,17.0,1022.0,Overall,Overall,AGE,15.0,15.0
908901.0,2003.0,IL,Age,18-24 years,Crude Prevalence,13.2,,,11.9,14.5,431.0,Overall,Overall,AGE,16.0,16.0
908902.0,2003.0,IL,Age,25-34 years,Crude Prevalence,18.6,,,17.3,19.9,871.0,Overall,Overall,AGE,16.0,16.0
908903.0,2003.0,IL,Age,35-44 years,Crude Prevalence,20.5,,,19.3,21.7,1138.0,Overall,Overall,AGE,16.0,16.0
908904.0,2003.0,IL,Age,45-54 years,Crude Prevalence,18.6,,,17.4,19.8,1042.0,Overall,Overall,AGE,16.0,16.0
908905.0,2003.0,IL,Age,55-64 years,Crude Prevalence,14.2,,,13.2,15.2,785.0,Overall,Overall,AGE,16.0,16.0
908906.0,2003.0,IL,Age,65+ years,Crude Prevalence,14.9,,,13.9,15.9,1000.0,Overall,Overall,AGE,16.0,16.0
911368.0,2003.0,IN,Age,18-24 years,Crude Prevalence,13.8,,,12.5,15.1,425.0,Overall,Overall,AGE,17.0,17.0
911369.0,2003.0,IN,Age,25-34 years,Crude Prevalence,17.3,,,16.2,18.4,897.0,Overall,Overall,AGE,17.0,17.0
911370.0,2003.0,IN,Age,35-44 years,Crude Prevalence,20.0,,,18.8,21.2,1074.0,Overall,Overall,AGE,17.0,17.0
911371.0,2003.0,IN,Age,45-54 years,Crude Prevalence,18.9,,,17.8,20.0,1148.0,Overall,Overall,AGE,17.0,17.0
911372.0,2003.0,IN,Age,55-64 years,Crude Prevalence,12.9,,,12.0,13.8,830.0,Overall,Overall,AGE,17.0,17.0
911373.0,2003.0,IN,Age,65+ years,Crude Prevalence,17.1,,,16.1,18.1,1107.0,Overall,Overall,AGE,17.0,17.0
913558.0,2003.0,IA,Age,18-24 years,Crude Prevalence,14.2,,,12.6,15.8,320.0,Overall,Overall,AGE,18.0,18.0
913559.0,2003.0,IA,Age,25-34 years,Crude Prevalence,15.6,,,14.4,16.8,667.0,Overall,Overall,AGE,18.0,18.0
913560.0,2003.0,IA,Age,35-44 years,Crude Prevalence,18.6,,,17.4,19.8,963.0,Overall,Overall,AGE,18.0,18.0
913561.0,2003.0,IA,Age,45-54 years,Crude Prevalence,18.6,,,17.4,19.8,1013.0,Overall,Overall,AGE,18.0,18.0
913562.0,2003.0,IA,Age,55-64 years,Crude Prevalence,12.6,,,11.6,13.6,770.0,Overall,Overall,AGE,18.0,18.0
913563.0,2003.0,IA,Age,65+ years,Crude Prevalence,20.4,,,19.2,21.6,1270.0,Overall,Overall,AGE,18.0,18.0
915346.0,2003.0,KS,Age,18-24 years,Crude Prevalence,14.4,,,12.7,16.1,285.0,Overall,Overall,AGE,19.0,19.0
915347.0,2003.0,KS,Age,25-34 years,Crude Prevalence,16.7,,,15.5,17.9,729.0,Overall,Overall,AGE,19.0,19.0
915348.0,2003.0,KS,Age,35-44 years,Crude Prevalence,19.5,,,18.2,20.8,910.0,Overall,Overall,AGE,19.0,19.0
915349.0,2003.0,KS,Age,45-54 years,Crude Prevalence,18.9,,,17.7,20.1,1033.0,Overall,Overall,AGE,19.0,19.0
915350.0,2003.0,KS,Age,55-64 years,Crude Prevalence,12.2,,,11.2,13.2,620.0,Overall,Overall,AGE,19.0,19.0
915351.0,2003.0,KS,Age,65+ years,Crude Prevalence,18.2,,,17.0,19.4,1040.0,Overall,Overall,AGE,19.0,19.0
917649.0,2003.0,KY,Age,18-24 years,Crude Prevalence,13.2,,,11.6,14.8,414.0,Overall,Overall,AGE,20.0,20.0
917650.0,2003.0,KY,Age,25-34 years,Crude Prevalence,17.5,,,16.1,18.9,1068.0,Overall,Overall,AGE,20.0,20.0
917651.0,2003.0,KY,Age,35-44 years,Crude Prevalence,19.9,,,18.5,21.3,1367.0,Overall,Overall,AGE,20.0,20.0
917652.0,2003.0,KY,Age,45-54 years,Crude Prevalence,18.9,,,17.6,20.2,1539.0,Overall,Overall,AGE,20.0,20.0
917653.0,2003.0,KY,Age,55-64 years,Crude Prevalence,13.4,,,12.4,14.4,1341.0,Overall,Overall,AGE,20.0,20.0
917654.0,2003.0,KY,Age,65+ years,Crude Prevalence,17.1,,,16.0,18.2,1904.0,Overall,Overall,AGE,20.0,20.0
920006.0,2003.0,LA,Age,18-24 years,Crude Prevalence,15.0,,,13.5,16.5,429.0,Overall,Overall,AGE,21.0,21.0
920007.0,2003.0,LA,Age,25-34 years,Crude Prevalence,17.6,,,16.4,18.8,792.0,Overall,Overall,AGE,21.0,21.0
920008.0,2003.0,LA,Age,35-44 years,Crude Prevalence,19.8,,,18.5,21.1,981.0,Overall,Overall,AGE,21.0,21.0
920009.0,2003.0,LA,Age,45-54 years,Crude Prevalence,18.7,,,17.5,19.9,1035.0,Overall,Overall,AGE,21.0,21.0
920010.0,2003.0,LA,Age,55-64 years,Crude Prevalence,12.6,,,11.7,13.5,856.0,Overall,Overall,AGE,21.0,21.0
920011.0,2003.0,LA,Age,65+ years,Crude Prevalence,16.3,,,15.2,17.4,989.0,Overall,Overall,AGE,21.0,21.0
922203.0,2003.0,ME,Age,18-24 years,Crude Prevalence,11.6,,,9.6,13.6,141.0,Overall,Overall,AGE,22.0,22.0
922204.0,2003.0,ME,Age,25-34 years,Crude Prevalence,14.5,,,12.9,16.1,328.0,Overall,Overall,AGE,22.0,22.0
922205.0,2003.0,ME,Age,35-44 years,Crude Prevalence,20.2,,,18.4,22.0,500.0,Overall,Overall,AGE,22.0,22.0
922206.0,2003.0,ME,Age,45-54 years,Crude Prevalence,20.5,,,18.7,22.3,532.0,Overall,Overall,AGE,22.0,22.0
922207.0,2003.0,ME,Age,55-64 years,Crude Prevalence,14.1,,,12.7,15.5,413.0,Overall,Overall,AGE,22.0,22.0
922208.0,2003.0,ME,Age,65+ years,Crude Prevalence,19.2,,,17.5,20.9,478.0,Overall,Overall,AGE,22.0,22.0
925089.0,2003.0,MD,Age,18-24 years,Crude Prevalence,10.7,,,9.2,12.2,259.0,Overall,Overall,AGE,23.0,23.0
925090.0,2003.0,MD,Age,25-34 years,Crude Prevalence,17.6,,,16.1,19.1,696.0,Overall,Overall,AGE,23.0,23.0
925091.0,2003.0,MD,Age,35-44 years,Crude Prevalence,22.6,,,21.1,24.1,1015.0,Overall,Overall,AGE,23.0,23.0
925092.0,2003.0,MD,Age,45-54 years,Crude Prevalence,20.2,,,18.7,21.7,955.0,Overall,Overall,AGE,23.0,23.0
925093.0,2003.0,MD,Age,55-64 years,Crude Prevalence,15.1,,,13.9,16.3,735.0,Overall,Overall,AGE,23.0,23.0
925094.0,2003.0,MD,Age,65+ years,Crude Prevalence,13.8,,,12.7,14.9,775.0,Overall,Overall,AGE,23.0,23.0
926751.0,2003.0,MA,Age,18-24 years,Crude Prevalence,12.1,,,10.9,13.3,497.0,Overall,Overall,AGE,24.0,24.0
926752.0,2003.0,MA,Age,25-34 years,Crude Prevalence,17.2,,,16.1,18.3,1419.0,Overall,Overall,AGE,24.0,24.0
926753.0,2003.0,MA,Age,35-44 years,Crude Prevalence,21.2,,,20.1,22.3,1662.0,Overall,Overall,AGE,24.0,24.0
926754.0,2003.0,MA,Age,45-54 years,Crude Prevalence,18.9,,,17.8,20.0,1574.0,Overall,Overall,AGE,24.0,24.0
926755.0,2003.0,MA,Age,55-64 years,Crude Prevalence,12.8,,,11.9,13.7,1053.0,Overall,Overall,AGE,24.0,24.0
926756.0,2003.0,MA,Age,65+ years,Crude Prevalence,17.9,,,16.8,19.0,1375.0,Overall,Overall,AGE,24.0,24.0
928448.0,2003.0,MI,Age,18-24 years,Crude Prevalence,13.1,,,11.4,14.8,237.0,Overall,Overall,AGE,25.0,25.0
928449.0,2003.0,MI,Age,25-34 years,Crude Prevalence,17.1,,,15.5,18.7,483.0,Overall,Overall,AGE,25.0,25.0
928450.0,2003.0,MI,Age,35-44 years,Crude Prevalence,20.4,,,18.8,22.0,655.0,Overall,Overall,AGE,25.0,25.0
928451.0,2003.0,MI,Age,45-54 years,Crude Prevalence,19.6,,,18.2,21.0,754.0,Overall,Overall,AGE,25.0,25.0
928452.0,2003.0,MI,Age,55-64 years,Crude Prevalence,13.8,,,12.6,15.0,597.0,Overall,Overall,AGE,25.0,25.0
928453.0,2003.0,MI,Age,65+ years,Crude Prevalence,16.0,,,14.8,17.2,825.0,Overall,Overall,AGE,25.0,25.0
931189.0,2003.0,MN,Age,18-24 years,Crude Prevalence,13.4,,,11.8,15.0,259.0,Overall,Overall,AGE,26.0,26.0
931190.0,2003.0,MN,Age,25-34 years,Crude Prevalence,16.9,,,15.6,18.2,598.0,Overall,Overall,AGE,26.0,26.0
931191.0,2003.0,MN,Age,35-44 years,Crude Prevalence,21.2,,,19.8,22.6,832.0,Overall,Overall,AGE,26.0,26.0
931192.0,2003.0,MN,Age,45-54 years,Crude Prevalence,19.5,,,18.2,20.8,802.0,Overall,Overall,AGE,26.0,26.0
931193.0,2003.0,MN,Age,55-64 years,Crude Prevalence,12.4,,,11.4,13.4,557.0,Overall,Overall,AGE,26.0,26.0
931194.0,2003.0,MN,Age,65+ years,Crude Prevalence,16.6,,,15.5,17.7,835.0,Overall,Overall,AGE,26.0,26.0
934006.0,2003.0,MS,Age,18-24 years,Crude Prevalence,15.4,,,13.7,17.1,322.0,Overall,Overall,AGE,27.0,27.0
934007.0,2003.0,MS,Age,25-34 years,Crude Prevalence,17.7,,,16.4,19.0,705.0,Overall,Overall,AGE,27.0,27.0
934008.0,2003.0,MS,Age,35-44 years,Crude Prevalence,19.1,,,17.8,20.4,833.0,Overall,Overall,AGE,27.0,27.0
934009.0,2003.0,MS,Age,45-54 years,Crude Prevalence,17.9,,,16.7,19.1,915.0,Overall,Overall,AGE,27.0,27.0
934010.0,2003.0,MS,Age,55-64 years,Crude Prevalence,12.7,,,11.7,13.7,693.0,Overall,Overall,AGE,27.0,27.0
934011.0,2003.0,MS,Age,65+ years,Crude Prevalence,17.1,,,16.0,18.2,954.0,Overall,Overall,AGE,27.0,27.0
935552.0,2003.0,MO,Age,18-24 years,Crude Prevalence,13.2,,,11.4,15.0,326.0,Overall,Overall,AGE,28.0,28.0
935553.0,2003.0,MO,Age,25-34 years,Crude Prevalence,16.7,,,15.1,18.3,611.0,Overall,Overall,AGE,28.0,28.0
935554.0,2003.0,MO,Age,35-44 years,Crude Prevalence,19.8,,,18.1,21.5,773.0,Overall,Overall,AGE,28.0,28.0
935555.0,2003.0,MO,Age,45-54 years,Crude Prevalence,18.6,,,17.1,20.1,828.0,Overall,Overall,AGE,28.0,28.0
935556.0,2003.0,MO,Age,55-64 years,Crude Prevalence,13.2,,,11.9,14.5,630.0,Overall,Overall,AGE,28.0,28.0
935557.0,2003.0,MO,Age,65+ years,Crude Prevalence,18.5,,,17.1,19.9,1084.0,Overall,Overall,AGE,28.0,28.0
937878.0,2003.0,MT,Age,18-24 years,Crude Prevalence,13.5,,,11.6,15.4,245.0,Overall,Overall,AGE,29.0,29.0
937879.0,2003.0,MT,Age,25-34 years,Crude Prevalence,14.8,,,13.2,16.4,505.0,Overall,Overall,AGE,29.0,29.0
937880.0,2003.0,MT,Age,35-44 years,Crude Prevalence,18.5,,,16.9,20.1,759.0,Overall,Overall,AGE,29.0,29.0
937881.0,2003.0,MT,Age,45-54 years,Crude Prevalence,20.9,,,19.3,22.5,958.0,Overall,Overall,AGE,29.0,29.0
937882.0,2003.0,MT,Age,55-64 years,Crude Prevalence,13.9,,,12.6,15.2,673.0,Overall,Overall,AGE,29.0,29.0
937883.0,2003.0,MT,Age,65+ years,Crude Prevalence,18.5,,,17.0,20.0,884.0,Overall,Overall,AGE,29.0,29.0
939457.0,2003.0,NE,Age,18-24 years,Crude Prevalence,14.3,,,12.8,15.8,355.0,Overall,Overall,AGE,30.0,30.0
939458.0,2003.0,NE,Age,25-34 years,Crude Prevalence,16.8,,,15.6,18.0,734.0,Overall,Overall,AGE,30.0,30.0
939459.0,2003.0,NE,Age,35-44 years,Crude Prevalence,19.2,,,18.0,20.4,973.0,Overall,Overall,AGE,30.0,30.0
939460.0,2003.0,NE,Age,45-54 years,Crude Prevalence,18.8,,,17.6,20.0,987.0,Overall,Overall,AGE,30.0,30.0
939461.0,2003.0,NE,Age,55-64 years,Crude Prevalence,12.2,,,11.3,13.1,699.0,Overall,Overall,AGE,30.0,30.0
939462.0,2003.0,NE,Age,65+ years,Crude Prevalence,18.8,,,17.7,19.9,1231.0,Overall,Overall,AGE,30.0,30.0
942644.0,2003.0,NV,Age,18-24 years,Crude Prevalence,11.5,,,9.6,13.4,228.0,Overall,Overall,AGE,31.0,31.0
942645.0,2003.0,NV,Age,25-34 years,Crude Prevalence,19.3,,,17.1,21.5,481.0,Overall,Overall,AGE,31.0,31.0
942646.0,2003.0,NV,Age,35-44 years,Crude Prevalence,21.2,,,19.1,23.3,590.0,Overall,Overall,AGE,31.0,31.0
942647.0,2003.0,NV,Age,45-54 years,Crude Prevalence,18.6,,,16.6,20.6,605.0,Overall,Overall,AGE,31.0,31.0
942648.0,2003.0,NV,Age,55-64 years,Crude Prevalence,14.0,,,12.3,15.7,469.0,Overall,Overall,AGE,31.0,31.0
942649.0,2003.0,NV,Age,65+ years,Crude Prevalence,15.3,,,13.6,17.0,600.0,Overall,Overall,AGE,31.0,31.0
944864.0,2003.0,NH,Age,18-24 years,Crude Prevalence,12.1,,,10.6,13.6,246.0,Overall,Overall,AGE,32.0,32.0
944865.0,2003.0,NH,Age,25-34 years,Crude Prevalence,15.1,,,14.0,16.2,703.0,Overall,Overall,AGE,32.0,32.0
944866.0,2003.0,NH,Age,35-44 years,Crude Prevalence,22.1,,,20.8,23.4,1104.0,Overall,Overall,AGE,32.0,32.0
944867.0,2003.0,NH,Age,45-54 years,Crude Prevalence,20.9,,,19.7,22.1,1242.0,Overall,Overall,AGE,32.0,32.0
944868.0,2003.0,NH,Age,55-64 years,Crude Prevalence,13.6,,,12.6,14.6,824.0,Overall,Overall,AGE,32.0,32.0
944869.0,2003.0,NH,Age,65+ years,Crude Prevalence,16.3,,,15.2,17.4,923.0,Overall,Overall,AGE,32.0,32.0
946673.0,2003.0,NJ,Age,18-24 years,Crude Prevalence,10.9,,,10.0,11.8,560.0,Overall,Overall,AGE,33.0,33.0
946674.0,2003.0,NJ,Age,25-34 years,Crude Prevalence,16.9,,,16.0,17.8,1563.0,Overall,Overall,AGE,33.0,33.0
946675.0,2003.0,NJ,Age,35-44 years,Crude Prevalence,21.7,,,20.8,22.6,2482.0,Overall,Overall,AGE,33.0,33.0
946676.0,2003.0,NJ,Age,45-54 years,Crude Prevalence,19.2,,,18.4,20.0,2516.0,Overall,Overall,AGE,33.0,33.0
946677.0,2003.0,NJ,Age,55-64 years,Crude Prevalence,13.3,,,12.6,14.0,1703.0,Overall,Overall,AGE,33.0,33.0
